brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,wiek,engine_hp,engine_cylinders,engine_fuel,engine_liters_log
Lexus,LX 570 Base,2016,118700.0,Gasoline,8-Speed A/T,Black,Beige,None reported,Yes,46900.0,9,383.0,8.0,Gasoline,1.7404661750159431
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,A/T,Red,Black,None reported,Yes,15900.0,8,180.0,4.0,Gasoline,0.8754687377705666
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,8-Speed A/T,Silver,Black,None reported,Yes,8999.0,13,211.0,4.0,Gasoline,0.6931471810599453
Hyundai,Tucson SE,2007,16200.0,Gasoline,A/T,Gold,Beige,None reported,Yes,8200.0,18,173.0,6.0,Gasoline,0.9932517733806538
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000.0,11,240.0,4.0,Gasoline,0.6931471810599453
Dodge,Sprinter 2500,2007,189719.0,Diesel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000.0,18,310.0,6.0,Diesel,1.0986122890014431
Audi,A7 Premium,2012,54000.0,Gasoline,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880.0,13,310.0,6.0,Gasoline,1.0986122890014431
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000.0,8,228.0,4.0,Gasoline,0.6931471810599453
Toyota,Avalon Touring,2016,89148.0,Gasoline,A/T,Black,Black,None reported,Yes,17500.0,9,268.0,6.0,Gasoline,1.2527629687810824
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,8-Speed A/T,White,Black,None reported,Yes,30990.0,8,300.0,6.0,Gasoline,1.280933845739842
Hummer,H2 Base,2005,110900.0,Gasoline,A/T,Gray,Black,None reported,Yes,19500.0,20,325.0,8.0,Gasoline,1.7917594693947216
Porsche,911 Carrera S,2013,39000.0,Gasoline,7-Speed A/T,Blue,Black,None reported,Yes,73000.0,12,400.0,6.0,Gasoline,1.335001066995498
Ford,Mustang GT Premium,2014,37060.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,28500.0,11,420.0,8.0,Gasoline,1.6094379126341003
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000.0,11,302.0,6.0,Gasoline,1.2527629687810824
Lexus,IS 350 Base,2014,104000.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,21000.0,11,306.0,6.0,Gasoline,1.2527629687810824
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,A/T,White,Beige,None reported,Yes,46900.0,2,237.0,4.0,Gasoline,0.6931471810599453
Chrysler,300C SRT8,2006,43000.0,Gasoline,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995.0,19,425.0,8.0,Gasoline,1.8082887713432
Audi,RS 5 2.9T,2019,21240.0,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950.0,6,444.0,6.0,Gasoline,1.064710737337256
Maserati,Quattroporte S,2019,23230.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,44999.0,6,424.0,6.0,Gasoline,1.0986122890014431
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000.0,8,340.0,6.0,Gasoline,1.0986122890014431
Lexus,ES 330 Base,2005,41059.0,Gasoline,5-Speed A/T,White,Beige,None reported,Yes,11100.0,20,225.0,6.0,Gasoline,1.1939224687754648
Porsche,Cayman GTS,2015,11500.0,Gasoline,7-Speed A/T,Silver,–,None reported,Yes,72000.0,10,340.0,6.0,Gasoline,1.2237754319162333
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,8-Speed A/T,Silver,Blue,None reported,Yes,53950.0,4,365.0,6.0,Gasoline,1.1939224687754648
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,6-Speed M/T,White,Black,None reported,Yes,47999.0,2,315.0,4.0,Gasoline,0.6931471810599453
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0,10,199.0,4.0,Electric,0.8754687377705666
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000.0,11,560.0,8.0,Gasoline,1.3862943613698906
BMW,740 Li,2012,85252.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,18500.0,13,326.0,6.0,Gasoline,1.0986122890014431
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000.0,5,362.0,6.0,Gasoline,1.0986122890014431
BMW,M6 Base,2016,25500.0,Gasoline,7-Speed A/T,White,Black,None reported,Yes,55000.0,9,560.0,8.0,Gasoline,1.4816045411514882
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,M/T,Green,Beige,,,2300.0,21,165.0,4.0,Gasoline,0.9162907322741553
Hyundai,Elantra N Base,2023,3800.0,Gasoline,6-Speed M/T,White,Black,None reported,Yes,34000.0,2,276.0,4.0,Gasoline,0.6931471810599453
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900.0,7,241.0,4.0,Gasoline,0.6931471810599453
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,8-Speed A/T,White,Beige,None reported,Yes,24950.0,9,300.0,6.0,Gasoline,1.0986122890014431
BMW,525 i,2005,91420.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,8900.0,20,215.0,6.0,Gasoline,0.9162907322741553
Toyota,Corolla LE,2003,124756.0,Gasoline,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995.0,22,130.0,4.0,Gasoline,0.5877866654576747
GMC,Acadia SLT-1,2012,116226.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,7900.0,13,288.0,6.0,Gasoline,1.280933845739842
Lexus,ES 300h Base,2013,87001.0,Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995.0,12,200.0,4.0,Electric,0.9162907322741553
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,11,195.0,6.0,Gasoline,1.458615022932075
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,A/T,Green,Black,None reported,Yes,47500.0,3,285.0,6.0,Gasoline,1.280933845739842
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000.0,9,340.0,6.0,Gasoline,1.0986122890014431
Cadillac,XT4 Sport,2019,44500.0,Gasoline,9-Speed A/T,Blue,White,None reported,Yes,28900.0,6,237.0,4.0,Gasoline,0.6931471810599453
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0,12,300.0,6.0,Flex Fuel,1.3083328199204491
Toyota,Corolla LE,2010,72348.0,Gasoline,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995.0,15,132.0,4.0,Gasoline,0.5877866654576747
INFINITI,Q70h Base,2016,52750.0,Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998.0,9,360.0,6.0,Electric,1.2527629687810824
Audi,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,8-Speed A/T,Black,Black,,,9995.0,10,280.0,6.0,Gasoline,1.0986122890014431
Audi,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,6-Speed A/T,White,Black,,,25999.0,13,265.0,4.0,Gasoline,0.6931471810599453
BMW,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,30000.0,10,445.0,8.0,Gasoline,1.4816045411514882
Land,Rover LR3 HSE,2006,153843.0,Gasoline,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,9950.0,19,300.0,8.0,Gasoline,1.4816045411514882
Ford,Transit Connect XLT,2015,194454.0,Gasoline,6-Speed A/T,White,Black,None reported,Yes,9888.0,10,169.0,4.0,Gasoline,0.9162907322741553
Porsche,911 Carrera S,2013,18494.0,Gasoline,7-Speed M/T,Black,Black,,,86900.0,12,400.0,6.0,Gasoline,1.335001066995498
Dodge,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,4-Speed A/T,Red,Gray,None reported,Yes,12990.0,19,330.0,8.0,Gasoline,1.7404661750159431
Nissan,Armada SL,2021,67800.0,Gasoline,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500.0,4,400.0,8.0,Gasoline,1.722766597919675
Chevrolet,Monte Carlo SS,2006,66840.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000.0,19,303.0,8.0,Gasoline,1.6677068207467554
Chevrolet,Monte Carlo SS,2005,75000.0,Gasoline,A/T,Black,Black,None reported,Yes,12500.0,20,240.0,6.0,Gasoline,1.335001066995498
Land,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800.0,10,240.0,4.0,Gasoline,0.6931471810599453
GMC,Acadia SLT-1,2011,120000.0,Gasoline,6-Speed A/T,Silver,Gray,None reported,Yes,7500.0,14,288.0,6.0,Gasoline,1.280933845739842
Kia,K900 5.0L,2017,36486.0,Gasoline,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950.0,8,420.0,8.0,Gasoline,1.6094379126341003
Ford,E150 XLT,2013,162100.0,E85 Flex Fuel,4-Speed A/T,Black,Gray,None reported,Yes,12500.0,12,255.0,8.0,Flex Fuel,1.686398953755414
Subaru,Forester Base,2020,32744.0,Gasoline,CVT Transmission,Black,Gray,None reported,Yes,24000.0,5,182.0,4.0,Gasoline,0.9162907322741553
Porsche,Panamera 2,2012,54000.0,Gasoline,A/T,White,–,At least 1 accident or damage reported,Yes,26000.0,13,300.0,6.0,Gasoline,1.280933845739842
Toyota,Tacoma PreRunner,2008,202055.0,Gasoline,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,8500.0,17,236.0,6.0,Gasoline,1.3862943613698906
RAM,2500 Laramie,2019,65000.0,Diesel,6-Speed A/T,Black,Black,None reported,Yes,65000.0,6,370.0,6.0,Diesel,1.9021075265461744
Cadillac,DTS Base,2010,49620.0,Gasoline,A/T,White,Gray,None reported,Yes,10499.0,15,275.0,8.0,Gasoline,1.5260563037124406
Toyota,Land Cruiser Base,1997,213000.0,Gasoline,4-Speed A/T,White,Beige,None reported,Yes,26500.0,28,212.0,6.0,Gasoline,1.5040773969984964
Nissan,GT-R Premium,2020,16010.0,Gasoline,A/T,White,Black,None reported,Yes,114000.0,5,565.0,6.0,Gasoline,1.335001066995498
Audi,Q7 45 Premium Plus,2021,68000.0,Gasoline,8-Speed A/T,Blue,Black,None reported,Yes,36499.0,4,248.0,4.0,Gasoline,0.6931471810599453
Lexus,LX 470 Base,1999,82000.0,Gasoline,A/T,White,Beige,None reported,Yes,25000.0,26,230.0,8.0,Gasoline,1.547562508928779
Ford,Escape Limited,2012,129000.0,Gasoline,A/T,White,Gray,At least 1 accident or damage reported,Yes,7000.0,13,171.0,4.0,Gasoline,0.9162907322741553
Lexus,LS 460 L,2014,106731.0,Gasoline,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,30000.0,11,360.0,8.0,Gasoline,1.5260563037124406
Ford,Expedition Platinum,2019,34672.0,Gasoline,10-Speed A/T,White,White,None reported,Yes,45500.0,6,400.0,6.0,Gasoline,1.2527629687810824
Audi,A5 2.0T Premium Plus,2015,82000.0,Gasoline,8-Speed A/T,White,Brown,None reported,Yes,17000.0,10,220.0,4.0,Gasoline,0.6931471810599453
Scion,tC Base,2013,177600.0,Gasoline,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,7100.0,12,180.0,4.0,Gasoline,0.9162907322741553
Lincoln,MKZ Hybrid Base,2014,78568.0,Hybrid,A/T,Blue,Beige,None reported,Yes,15500.0,11,188.0,4.0,Electric,0.6931471810599453
Ford,Transit-350 XL,2018,95000.0,E85 Flex Fuel,A/T,White,Gray,None reported,Yes,43000.0,7,275.0,6.0,Flex Fuel,1.3083328199204491
Volvo,XC90 3.2,2011,88300.0,Gasoline,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500.0,14,235.0,6.0,Gasoline,1.1631508101181809
Chevrolet,Avalanche LTZ,2013,98000.0,E85 Flex Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,27499.0,12,320.0,8.0,Flex Fuel,1.6677068207467554
Lincoln,Navigator L,2008,95000.0,Gasoline,A/T,Black,Black,None reported,Yes,10900.0,17,300.0,8.0,Gasoline,1.686398953755414
Hyundai,Elantra GLS,2010,107000.0,Gasoline,4-Speed A/T,Blue,Blue,At least 1 accident or damage reported,Yes,6250.0,15,138.0,4.0,Gasoline,0.6931471810599453
Mitsubishi,Lancer Evolution GSR,2012,33000.0,Gasoline,5-Speed M/T,Black,Black,None reported,Yes,34999.0,13,291.0,4.0,Gasoline,0.6931471810599453
Ford,Expedition Max Limited,2022,26500.0,Gasoline,A/T,White,Beige,None reported,Yes,65900.0,3,440.0,6.0,Gasoline,1.2527629687810824
Lexus,LX 570 Three-Row,2019,19050.0,Gasoline,8-Speed A/T,Black,Beige,None reported,Yes,76900.0,6,383.0,8.0,Gasoline,1.7404661750159431
Chevrolet,Traverse Premier,2020,52000.0,Gasoline,A/T,White,Black,None reported,Yes,35800.0,5,310.0,6.0,Gasoline,1.280933845739842
Mercedes-Benz,Sprinter High Roof,2014,65000.0,Diesel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,54999.0,11,188.0,6.0,Diesel,1.0986122890014431
Ford,Fusion SE,2018,75600.0,Gasoline,A/T,Blue,Black,At least 1 accident or damage reported,Yes,14950.0,7,181.0,4.0,Gasoline,0.4054651087748311
Lincoln,MKZ Base,2015,117292.0,Gasoline,A/T,Beige,Beige,None reported,Yes,12000.0,10,240.0,4.0,Gasoline,0.6931471810599453
Saturn,Sky Base,2008,15020.0,Gasoline,A/T,Silver,Red,None reported,Yes,18500.0,17,173.0,4.0,Gasoline,0.8754687377705666
Porsche,911 Carrera C2S,2005,28500.0,Gasoline,6-Speed M/T,Silver,Black,None reported,Yes,63500.0,20,355.0,6.0,Gasoline,1.335001066995498
Ford,Taurus X Limited,2008,148949.0,Gasoline,A/T,Blue,Beige,None reported,Yes,3900.0,17,263.0,6.0,Gasoline,1.2527629687810824
BMW,440 Gran Coupe i,2018,39300.0,Gasoline,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,31750.0,7,320.0,6.0,Gasoline,1.0986122890014431
Honda,S2000 CR,2008,82323.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,28500.0,17,237.0,4.0,Gasoline,0.7884573608188158
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000.0,Gasoline,A/T,White,Gray,None reported,Yes,18853.0,21,302.0,8.0,Gasoline,1.6094379126341003
Mercedes-Benz,CLS-Class CLS 550,2007,123112.0,Gasoline,A/T,Silver,Black,At least 1 accident or damage reported,Yes,104999.0,18,382.0,8.0,Gasoline,1.7047480924202434
INFINITI,G35 Sport,2007,37100.0,Gasoline,6-Speed M/T,Gray,Black,None reported,Yes,16900.0,18,306.0,6.0,Gasoline,1.2527629687810824
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000.0,Gasoline,6-Speed M/T,Silver,Black,None reported,Yes,14500.0,9,210.0,4.0,Gasoline,0.6931471810599453
Lincoln,Navigator L Reserve,2019,67073.0,Gasoline,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,47999.0,6,450.0,6.0,Gasoline,1.2527629687810824
Maserati,Ghibli S Q4,2015,28700.0,Gasoline,8-Speed A/T,White,Red,,,24900.0,10,404.0,6.0,Gasoline,1.0986122890014431
Volkswagen,Routan SE,2012,123815.0,Gasoline,6-Speed A/T,Black,Gray,None reported,Yes,5000.0,13,283.0,6.0,Gasoline,1.280933845739842
Land,Rover Range Rover Supercharged,2008,114287.0,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,9900.0,17,400.0,8.0,Gasoline,1.4350845255274178
Acura,ILX 2.0L w/Premium Package,2015,75000.0,Gasoline,5-Speed A/T,Gold,Beige,None reported,Yes,14500.0,10,150.0,4.0,Gasoline,0.6931471810599453
BMW,M6 Base,2016,45800.0,Gasoline,7-Speed A/T,Gold,Black,,,36800.0,9,560.0,8.0,Gasoline,1.4816045411514882
BMW,X6 sDrive35i,2016,70582.0,Gasoline,8-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,35000.0,9,300.0,6.0,Gasoline,1.0986122890014431
Porsche,Cayman S,2014,33088.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,49750.0,11,325.0,6.0,Gasoline,1.2237754319162333
Lincoln,Corsair Grand Touring,2021,1850.0,Plug-In Hybrid,CVT Transmission,Silver,Beige,None reported,Yes,49000.0,4,266.0,4.0,Electric,0.9162907322741553
Cadillac,DTS Luxury II,2008,94155.0,Gasoline,4-Speed A/T,White,Beige,None reported,Yes,10500.0,17,275.0,8.0,Gasoline,1.5260563037124406
Cadillac,ATS 3.6L Luxury,2016,25000.0,Gasoline,8-Speed A/T,Red,Beige,None reported,Yes,17999.0,9,335.0,6.0,Gasoline,1.280933845739842
GMC,Sierra 1500 SLT,2016,99500.0,Gasoline,8-Speed A/T,Gray,Black,None reported,Yes,27995.0,9,355.0,8.0,Gasoline,1.6677068207467554
INFINITI,G37 x,2009,158564.0,Gasoline,A/T,Blue,Beige,None reported,Yes,8750.0,16,328.0,6.0,Gasoline,1.3083328199204491
Ford,Transit-350 XLT,2023,20000.0,Gasoline,10-Speed A/T,Black,Black,None reported,Yes,78499.0,2,310.0,6.0,Gasoline,1.2527629687810824
Cadillac,XTS Luxury,2018,46711.0,Gasoline,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,20850.0,7,304.0,6.0,Gasoline,1.280933845739842
Nissan,NV Passenger NV3500 HD SL V8,2017,46496.0,Gasoline,A/T,Black,Gray,None reported,Yes,41000.0,8,375.0,8.0,Gasoline,1.722766597919675
Mercedes-Benz,GLS 450 Base 4MATIC,2019,19800.0,Gasoline,9-Speed A/T,Silver,Black,None reported,Yes,53800.0,6,362.0,6.0,Gasoline,1.0986122890014431
Toyota,Land Cruiser Base,2008,175000.0,Gasoline,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,37900.0,17,381.0,8.0,Gasoline,1.7404661750159431
Toyota,Land Cruiser Base,2016,61500.0,Gasoline,8-Speed A/T,White,Black,None reported,Yes,63500.0,9,381.0,8.0,Gasoline,1.7404661750159431
RAM,ProMaster 2500 Window Van High Roof,2016,49750.0,Gasoline,6-Speed A/T,Black,Gray,None reported,Yes,65000.0,9,280.0,6.0,Gasoline,1.280933845739842
Lincoln,MKZ Base,2011,83765.0,Gasoline,A/T,Black,Black,None reported,Yes,8995.0,14,263.0,6.0,Gasoline,1.2527629687810824
Lamborghini,Urus Base,2021,13692.0,Gasoline,8-Speed A/T,Black,Red,None reported,Yes,257000.0,4,641.0,8.0,Gasoline,1.3862943613698906
INFINITI,G37 x,2013,60058.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,15000.0,12,328.0,6.0,Gasoline,1.3083328199204491
Maserati,Levante S,2017,54423.0,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,33950.0,8,424.0,6.0,Gasoline,1.0986122890014431
Lincoln,Navigator L Reserve,2019,64855.0,Gasoline,10-Speed A/T,Silver,Beige,None reported,Yes,46995.0,6,450.0,6.0,Gasoline,1.2527629687810824
Lincoln,Town Car Base,2004,36524.0,Gasoline,4-Speed A/T,Black,Black,None reported,Yes,14900.0,21,239.0,8.0,Gasoline,1.5260563037124406
Honda,CR-V EX,2003,224000.0,Gasoline,M/T,Black,Gray,None reported,Yes,3900.0,22,160.0,4.0,Gasoline,0.8754687377705666
Mazda,MX-5 Miata Grand Touring,2007,81400.0,Gasoline,6-Speed M/T,Red,–,At least 1 accident or damage reported,Yes,11000.0,18,166.0,4.0,Gasoline,0.6931471810599453
Porsche,718 Boxster Base,2019,6700.0,Gasoline,7-Speed A/T,Gray,Black,None reported,Yes,63000.0,6,300.0,4.0,Gasoline,0.6931471810599453
Ford,Transit-350 XLT,2015,143000.0,Gasoline,6-Speed A/T,Silver,Gray,None reported,Yes,22500.0,10,275.0,6.0,Gasoline,1.3083328199204491
INFINITI,G37 S Sport,2010,116451.0,Gasoline,6-Speed M/T,White,Gray,None reported,Yes,16500.0,15,328.0,6.0,Gasoline,1.3083328199204491
Nissan,Titan XD S,2019,53677.0,Gasoline,7-Speed A/T,Red,Gray,None reported,Yes,27900.0,6,390.0,8.0,Gasoline,1.722766597919675
Audi,S7 2.9T Prestige,2021,12000.0,Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,77500.0,4,444.0,6.0,Gasoline,1.064710737337256
Ford,Transit-350 XLT,2020,32000.0,Diesel,A/T,Black,Black,None reported,Yes,68000.0,5,210.0,4.0,Diesel,0.6931471810599453
INFINITI,Q70 3.7,2014,70312.0,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,19995.0,11,330.0,6.0,Gasoline,1.3083328199204491
Jeep,Gladiator Rubicon,2022,8794.0,Gasoline,A/T,White,Black,None reported,Yes,54000.0,3,285.0,6.0,Gasoline,1.280933845739842
Lincoln,MKX Base,2010,156000.0,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,5900.0,15,265.0,6.0,Gasoline,1.2527629687810824
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,36000.0,Gasoline,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,32000.0,7,292.0,4.0,Gasoline,0.6931471810599453
Kia,Forte GT-Line,2023,15500.0,Gasoline,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,24500.0,2,147.0,4.0,Gasoline,0.6931471810599453
Lincoln,MKZ Reserve,2017,37375.0,Gasoline,6-Speed A/T,Blue,Brown,None reported,Yes,27500.0,8,400.0,6.0,Gasoline,1.0986122890014431
Porsche,718 Cayman S,2019,9500.0,Gasoline,7-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,69000.0,6,350.0,4.0,Gasoline,0.9162907322741553
Chevrolet,Corvette Base,2005,143095.0,Gasoline,4-Speed A/T,Red,Black,None reported,Yes,16000.0,20,400.0,8.0,Gasoline,1.7917594693947216
Acura,RSX Type S,2002,80000.0,Gasoline,6-Speed M/T,Beige,Beige,At least 1 accident or damage reported,Yes,8500.0,23,200.0,4.0,Gasoline,0.6931471810599453
Ferrari,Roma Base,2021,3000.0,Gasoline,8-Speed A/T,Blue,Brown,None reported,Yes,275000.0,4,611.0,8.0,Gasoline,1.360976553392011
Porsche,Cayman S,2007,5856.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,45000.0,18,295.0,6.0,Gasoline,1.2237754319162333
Mercedes-Benz,AMG GLS 63 4MATIC,2022,4102.0,Hybrid,9-Speed A/T,Black,Black,None reported,Yes,144664.0,3,603.0,8.0,Gasoline,1.3862943613698906
Honda,Ridgeline RTL-E,2021,14442.0,Gasoline,9-Speed A/T,White,Beige,None reported,Yes,38500.0,4,280.0,6.0,Gasoline,1.2527629687810824
Mercedes-Benz,CLK-Class 500 Cabriolet,2005,64000.0,Gasoline,7-Speed A/T,Silver,Black,None reported,Yes,12995.0,20,302.0,8.0,Gasoline,1.6094379126341003
Lexus,GX 470 Base,2004,154000.0,Gasoline,A/T,White,Beige,At least 1 accident or damage reported,Yes,10000.0,21,235.0,8.0,Gasoline,1.547562508928779
Lexus,NX 200t Base,2015,54000.0,Gasoline,6-Speed A/T,White,Black,None reported,Yes,27000.0,10,235.0,4.0,Gasoline,0.6931471810599453
Dodge,Dakota SLT Quad Cab,2007,232492.0,Gasoline,4-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,6000.0,18,210.0,6.0,Gasoline,1.3083328199204491
Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,71962.0,Gasoline,9-Speed A/T,White,Black,None reported,Yes,46900.0,7,469.0,8.0,Gasoline,1.3862943613698906
Subaru,BRZ Premium,2023,5800.0,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,29990.0,2,228.0,4.0,Gasoline,0.8754687377705666
